Entity,Year,Code,Cantril ladder score,"GDP per capita, PPP (constant 2021 international $)"
Afghanistan,2023,AFG,1.721,1983.8126
Albania,2023,ALB,5.304,17991.016
Algeria,2023,DZA,5.364,15159.324
Argentina,2023,ARG,6.188,27104.98
Armenia,2023,ARM,5.455,19402.752
Australia,2023,AUS,7.057,60461.156
Austria,2023,AUT,6.905,64394.09
Azerbaijan,2023,AZE,4.893,21310.738
Bahrain,2023,BHR,5.959,57819.906
Bangladesh,2023,BGD,3.886,8242.398
Belgium,2023,BEL,6.894,62920.645
Benin,2023,BEN,4.377,3721.2126
Bolivia,2023,BOL,5.784,9843.97
Bosnia and Herzegovina,2023,BIH,5.877,19803.846
Botswana,2023,BWA,3.383,18932.48
Brazil,2023,BRA,6.272,19079.812
Bulgaria,2023,BGR,5.463,33139.938
Burkina Faso,2023,BFA,4.548,2482.0723
Cambodia,2023,KHM,4.341,6695.292
Cameroon,2023,CMR,4.874,4870.571
Canada,2023,CAN,6.9,57517.44
Chad,2023,TCD,4.471,2641.4329
Chile,2023,CHL,6.36,29563.678
China,2023,CHN,5.973,22687.076
Colombia,2023,COL,5.695,18382.998
Comoros,2023,COM,3.566,3516.4817
Congo,2023,COG,5.221,6172.2876
Costa Rica,2023,CRI,6.955,25979.629
Cote d'Ivoire,2023,CIV,5.08,6511.751
Croatia,2023,HRV,5.942,41135.086
Cyprus,2023,CYP,6.068,52190.875
Czechia,2023,CZE,6.822,47509.523
Democratic Republic of Congo,2023,COD,3.295,1456.4824
Denmark,2023,DNK,7.583,71454.52
Dominican Republic,2023,DOM,5.823,23282.49
Ecuador,2023,ECU,5.725,14343.019
Egypt,2023,EGY,3.977,16691.387
El Salvador,2023,SLV,6.469,11424.6455
Estonia,2023,EST,6.448,41706.52
Eswatini,2023,SWZ,3.502,10201.638
Ethiopia,2023,ETH,3.861,2757.9592
Finland,2023,FIN,7.741,56246.44
France,2023,FRA,6.609,54017.875
Gabon,2023,GAB,5.106,18702.691
Gambia,2023,GMB,4.485,2932.2805
Georgia,2023,GEO,5.185,22590.53
Germany,2023,DEU,6.719,62686.54
Ghana,2023,GHA,4.289,6808.5376
Greece,2023,GRC,5.934,36854.504
Guatemala,2023,GTM,6.287,12384.948
Guinea,2023,GIN,5.023,3904.824
High-income countries,2023,,6.496865,57349.35
Honduras,2023,HND,5.968,6467.88
Hong Kong,2023,HKG,5.316,64428.73
Hungary,2023,HUN,6.017,40368.59
Iceland,2023,ISL,7.525,67177.2
India,2023,IND,4.054,9301.756
Indonesia,2023,IDN,5.568,13889.975
Iran,2023,IRN,4.923,15912.03
Iraq,2023,IRQ,5.166,13202.323
Ireland,2023,IRL,6.838,115505.336
Israel,2023,ISR,7.341,47527.152
Italy,2023,ITA,6.324,52725.746
Jamaica,2023,JAM,5.842,10332.055
Japan,2023,JPN,6.06,45858.66
Jordan,2023,JOR,4.186,9381.3545
Kazakhstan,2023,KAZ,6.188,34703.234
Kenya,2023,KEN,4.47,5682.9893
Kosovo,2023,OWID_KOS,6.561,14240.203
Kuwait,2023,KWT,6.951,47777.402
Kyrgyzstan,2023,KGZ,5.714,6575.7754
Laos,2023,LAO,5.139,8372.156
Latvia,2023,LVA,6.234,38796.55
Lebanon,2023,LBN,2.707,11330.269
Lesotho,2023,LSO,3.186,2595.8296
Liberia,2023,LBR,4.269,1616.9237
Libya,2023,LBY,5.866,12478.144
Lithuania,2023,LTU,6.818,46159.707
Low-income countries,2023,,3.8060758,2221.1392
Lower-middle-income countries,2023,,4.4065213,8449.213
Luxembourg,2023,LUX,7.122,129021.65
Madagascar,2023,MDG,4.228,1629.4609
Malawi,2023,MWI,3.421,1648.4365
Malaysia,2023,MYS,5.975,32812.3
Mali,2023,MLI,4.232,2854.8271
Malta,2023,MLT,6.346,59293.297
Mauritania,2023,MRT,4.505,6258.711
Mauritius,2023,MUS,5.816,26060.732
Mexico,2023,MEX,6.678,21905.178
Moldova,2023,MDA,5.816,15990.4795
Mongolia,2023,MNG,5.696,16222.864
Montenegro,2023,MNE,5.707,27043.328
Morocco,2023,MAR,4.795,8868.712
Mozambique,2023,MOZ,5.216,1511.6365
Myanmar,2023,MMR,4.354,5364.138
Namibia,2023,NAM,4.832,10137.673
Nepal,2023,NPL,5.158,4861.2305
Netherlands,2023,NLD,7.319,70673.97
New Zealand,2023,NZL,7.029,49083.508
Nicaragua,2023,NIC,6.284,7496.5293
Niger,2023,NER,4.556,1689.5642
Nigeria,2023,NGA,4.881,5593.0566
North Macedonia,2023,MKD,5.369,23343.602
Norway,2023,NOR,7.302,90085.555
Pakistan,2023,PAK,4.657,5439.1797
Palestine,2023,PSE,4.879,5361.131
Panama,2023,PAN,6.358,35863.88
Paraguay,2023,PRY,5.977,15826.088
Peru,2023,PER,5.841,15327.582
Philippines,2023,PHL,6.048,9898.533
Poland,2023,POL,6.442,43672.766
Portugal,2023,PRT,6.03,41571.02
Romania,2023,ROU,6.491,40301.5
Russia,2023,RUS,5.785,39887.34
Saudi Arabia,2023,SAU,6.594,64481.844
Senegal,2023,SEN,4.969,4304.7617
Serbia,2023,SRB,6.411,25740.203
Sierra Leone,2023,SLE,3.245,3037.6765
Singapore,2023,SGP,6.523,129555.24
Slovakia,2023,SVK,6.257,39497.535
Slovenia,2023,SVN,6.743,47868.387
South Africa,2023,ZAF,5.422,13690.39
South Korea,2023,KOR,6.058,50414.207
Spain,2023,ESP,6.421,47341.17
Sri Lanka,2023,LKA,3.898,13024.94
Sweden,2023,SWE,7.344,62845.484
Switzerland,2023,CHE,7.06,82302.05
Taiwan,2023,TWN,6.503,
Tajikistan,2023,TJK,5.281,4472.324
Tanzania,2023,TZA,3.781,3620.7935
Thailand,2023,THA,5.976,21191.453
Togo,2023,TGO,4.214,2767.5166
Tunisia,2023,TUN,4.422,12622.96
Turkey,2023,TUR,4.975,34282.535
Uganda,2023,UGA,4.372,2791.0557
Ukraine,2023,UKR,4.873,15916.958
United Arab Emirates,2023,ARE,6.733,68577.54
United Kingdom,2023,GBR,6.749,52502.914
United States,2023,USA,6.725,74158.72
Upper-middle-income countries,2023,,5.8591065,20882.412
Uruguay,2023,URY,6.611,31059.254
Uzbekistan,2023,UZB,6.195,10007.686
Venezuela,2023,VEN,5.607,
Vietnam,2023,VNM,6.043,13545.935
World,2023,OWID_WRL,5.2620687,20785.27
Yemen,2023,YEM,3.561,
Zambia,2023,ZMB,3.502,3673.4841
Zimbabwe,2023,ZWE,3.341,3442.2488
